event,team_num,fsm
2026casac,4698,106.79
2026casac,2135,113.82
2026casac,9111,38.54
2026casac,9125,16.32
2026casac,1857,71.69
2026casac,5458,109.22
2026casac,199,39.02
2026casac,4135,50.95
2026casac,701,3.18
2026casac,9038,47.23
2026casac,6662,52.46
2026casac,751,80.07
2026casac,2141,45.49
2026casac,11296,40.8
2026casac,2204,47.84
2026casac,5274,32.1
2026casac,2073,73.47
2026casac,2288,32.53
2026casac,11274,6.45
2026casac,1280,5.07
2026casac,10212,29.09
2026casac,6981,23.05
2026casac,6619,3.53
2026casac,3482,4.9
2026casac,5430,7.24
2026casac,6884,22.08
2026casac,5728,21.87
2026cascmp,4414,348.86
2026cascmp,294,191.13
2026cascmp,3476,253.35
2026cascmp,1538,276.14
2026cascmp,9408,121.81
2026cascmp,3255,189.66
2026cascmp,599,202.23
2026cascmp,7415,166.42
2026cascmp,2659,164.07
2026cascmp,973,197.02
2026cascmp,1388,196.06
2026cascmp,5474,172.15
2026cascmp,9084,182.88
2026cascmp,696,173.55
2026cascmp,4201,142.76
2026cascmp,3512,162.27
2026cascmp,4322,145.45
2026cascmp,2102,170.87
2026cascmp,2637,122.05
2026cascmp,2584,122.61
2026cascmp,4415,129.57
2026cascmp,5199,157.7
2026cascmp,6995,135.23
2026cascmp,687,138.91
2026cascmp,6695,152.84
2026cascmp,7042,83.98
2026cascmp,2984,56.6
2026cascmp,4123,132.09
2026cascmp,5136,135.13
2026cascmp,3408,97.9
2026cascmp,9452,156.04
2026cascmp,3128,157.3
2026cascmp,8119,123.7
2026cascmp,3925,78.08
2026cascmp,4,135.15
2026cascmp,2429,125.22
2026cascmp,5137,90.38
2026cascmp,812,82.88
2026cascmp,2658,57.27
2026cascmp,4419,91.85
2026cascmp,1160,84.69
2026cascmp,7157,72.97
2026cascmp,4738,136.64
2026cascmp,3647,95.69
2026cascmp,5805,75.39
2026cascmp,6220,93.95
2026cascmp,4079,74.72
2026cascmp,1148,77.86
2026cascmp,1138,89.13
2026cascmp,2404,131.67
2026cascmp,4999,76.06
2026cascmp,2485,84.85
2026cascmp,3309,46.1
2026cascmp,2710,100.03
2026cascmp,1197,63.96
2026cascmp,589,65.36
2026cascmp,3749,93.98
2026cascmp,10586,46.08
2026cascmp,968,44.37
2026cascmp,11024,50.8
2026cascmp,1622,56.15
2026casgv,9408,205.34
2026casgv,1538,142.17
2026casgv,2102,195.77
2026casgv,599,220.88
2026casgv,4123,71.02
2026casgv,1160,102.33
2026casgv,812,67.52
2026casgv,4415,124.77
2026casgv,4999,59.06
2026casgv,6904,36.96
2026casgv,5669,55.47
2026casgv,1836,40.83
2026casgv,5851,30.67
2026casgv,7230,35.09
2026casgv,4470,24.66
2026casgv,4141,41.64
2026casgv,3952,35.4
2026casgv,5285,28.92
2026casgv,7447,33.98
2026casgv,4079,52.6
2026casgv,5124,34.87
2026casgv,8006,42.93
2026casgv,968,16.96
2026casgv,4501,24.29
2026casgv,867,21.23
2026casgv,9573,18.82
2026casgv,1197,37.93
2026casgv,3473,19.03
2026casgv,8898,2.07
2026casnd,3128,266.68
2026casnd,9452,136.75
2026casnd,3647,116.52
2026casnd,6995,132.07
2026casnd,8119,82.34
2026casnd,5514,39.6
2026casnd,2102,155.65
2026casnd,812,57.26
2026casnd,2984,62.88
2026casnd,5474,69.88
2026casnd,4419,75.7
